2022-05-12 03:42:25.966  INFO [PensionerDetailService,,] 25283 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 1.8.0_301 on intuitdepfceb5 with PID 25283 (/Users/bshree/Desktop/PensionManagementSystem-master 2/pensioner-detail-microservice/target/classes started by bshree in /Users/bshree/Desktop/PensionManagementSystem-master 2/pensioner-detail-microservice)
2022-05-12 03:42:25.971  INFO [PensionerDetailService,,] 25283 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-12 03:42:26.020  INFO [PensionerDetailService,,] 25283 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-12 03:42:26.020  INFO [PensionerDetailService,,] 25283 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-12 03:42:26.760  INFO [PensionerDetailService,,] 25283 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-12 03:42:26.813  INFO [PensionerDetailService,,] 25283 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 46 ms. Found 1 JPA repository interfaces.
2022-05-12 03:42:27.082  INFO [PensionerDetailService,,] 25283 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=85095809-9643-344a-ba36-0073e376c2c7
2022-05-12 03:42:28.043  INFO [PensionerDetailService,,] 25283 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2022-05-12 03:42:28.052  INFO [PensionerDetailService,,] 25283 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-12 03:42:28.052  INFO [PensionerDetailService,,] 25283 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-12 03:42:28.141  INFO [PensionerDetailService,,] 25283 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-12 03:42:28.141  INFO [PensionerDetailService,,] 25283 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2120 ms
2022-05-12 03:42:28.213  INFO [PensionerDetailService,,] 25283 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-12 03:42:28.433  INFO [PensionerDetailService,,] 25283 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-12 03:42:28.440  INFO [PensionerDetailService,,] 25283 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
